Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,960551,-,-,-,32.81,-84.82,-5,279,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2019,1,1,0,0,0,0,0,0,0,0,3,18,166.44,0,0.12,0.1,4,209,100,18,984,N/A
2019,1,1,0,30,0,0,0,0,0,0,3,17.900000000000002,169.82,0,0.12,0.1,4,212,100,17.900000000000002,984,N/A
2019,1,1,1,0,0,0,0,0,0,0,3,17.7,169.47,0,0.12,0.1,4.1000000000000005,215,100,17.7,984,N/A
2019,1,1,1,30,0,0,0,0,0,0,7,17.5,165.67000000000002,0,0.12,0.1,4.1000000000000005,223,100,17.5,984,N/A
2019,1,1,2,0,0,0,0,0,0,0,8,17.3,160.34,0,0.12,0.1,4.1000000000000005,231,100,17.3,985,N/A
2019,1,1,2,30,0,0,0,0,0,0,4,17.2,154.42000000000002,0,0.12,0.1,4,250,100,17.2,985,N/A
2019,1,1,3,0,0,0,0,0,0,0,3,17.1,148.27,0,0.12,0.1,4,269,100,17.1,985,N/A
2019,1,1,3,30,0,0,0,0,0,0,3,16.900000000000002,142.01,0,0.12,0.1,3.8000000000000003,288,100,16.900000000000002,985,N/A
2019,1,1,4,0,0,0,0,0,0,0,3,16.7,135.71,0,0.12,0.1,3.7,308,100,16.7,985,N/A
2019,1,1,4,30,0,0,0,0,0,0,3,16.400000000000002,129.42000000000002,0,0.12,0.1,3.6,321,100,16.400000000000002,985,N/A
2019,1,1,5,0,0,0,0,0,0,0,7,16.1,123.15,0,0.12,0.1,3.5,334,100,16.1,985,N/A
2019,1,1,5,30,0,0,0,0,0,0,7,15.700000000000001,116.93,0,0.12,0.1,3.4000000000000004,342,100,15.700000000000001,985,N/A
2019,1,1,6,0,0,0,0,0,0,0,7,15.4,110.79,0,0.12,0,3.3000000000000003,349,100,15.4,986,N/A
2019,1,1,6,30,0,0,0,0,0,0,7,15.100000000000001,104.75,0,0.12,0.1,3.3000000000000003,193,100,15.100000000000001,986,N/A
2019,1,1,7,0,0,0,0,0,0,0,7,14.9,98.82000000000001,0,0.12,0.1,3.3000000000000003,36,100,14.9,986,N/A
2019,1,1,7,30,0,0,0,0,0,0,7,15.100000000000001,93.05,0,0.12,0.1,3.3000000000000003,44,100,15.100000000000001,987,N/A
2019,1,1,8,0,10,15,11,21,181,30,3,15.3,87.22,86,0.12,0,3.3000000000000003,52,100,15.3,987,N/A
2019,1,1,8,30,47,46,53,42,415,100,7,15.8,82,100,0.12,0.1,3.4000000000000004,158,97.31,16.2,987,N/A
2019,1,1,9,0,75,61,89,57,555,182,7,17.1,76.96000000000001,71,0.12,0.1,3.4000000000000004,263,100,17.1,987,N/A
2019,1,1,9,30,103,72,125,72,628,263,7,17.400000000000002,72.25,0,0.12,0.1,3.5,259,96.34,18,988,N/A
2019,1,1,10,0,85,3,86,87,664,336,7,18,67.94,0,0.12,0.1,3.6,255,95.08,18.8,988,N/A
2019,1,1,10,30,33,0,33,93,712,404,7,18,64.13,4,0.12,0.1,3.6,259,93.32000000000001,19.1,988,N/A
2019,1,1,11,0,32,0,32,98,745,460,7,17.7,60.93,0,0.12,0.1,3.7,264,89.72,19.400000000000002,987,N/A
2019,1,1,11,30,26,0,26,101,767,503,7,17.7,58.42,0,0.12,0.1,3.8000000000000003,271,89.72,19.400000000000002,987,N/A
2019,1,1,12,0,29,0,29,104,781,533,7,17.5,56.71,0,0.12,0.1,3.8000000000000003,278,88.12,19.5,987,N/A
2019,1,1,12,30,30,0,30,108,778,545,8,17.5,55.86,0,0.12,0.1,3.9000000000000004,284,88.58,19.400000000000002,986,N/A
2019,1,1,13,0,94,5,97,112,767,542,7,17.400000000000002,55.93,0,0.12,0.1,3.9000000000000004,290,89.04,19.3,986,N/A
2019,1,1,13,30,77,0,77,114,750,524,8,17.400000000000002,56.9,0,0.12,0.1,3.9000000000000004,296,90.71000000000001,19,986,N/A
2019,1,1,14,0,96,1,97,116,721,490,4,17.400000000000002,58.730000000000004,0,0.12,0.1,4,302,91.45,18.8,986,N/A
2019,1,1,14,30,126,2,127,114,688,444,4,17.400000000000002,61.35,0,0.12,0.1,4,308,93.76,18.400000000000002,986,N/A
2019,1,1,15,0,120,5,122,110,642,385,7,17.3,64.65,0,0.12,0.1,4,314,95.07000000000001,18.1,986,N/A
2019,1,1,15,30,59,0,59,100,589,316,4,17.3,68.53,0,0.12,0.1,4,314,97.48,17.7,986,N/A
2019,1,1,16,0,26,0,26,89,515,240,3,17.3,72.9,25,0.12,0,4,313,99.83,17.3,987,N/A
2019,1,1,16,30,11,0,11,70,416,159,3,16.8,77.67,100,0.12,0.1,4,296,100,16.8,987,N/A
2019,1,1,17,0,6,0,6,48,272,82,3,16.3,82.75,100,0.12,0.1,4,279,100,16.3,987,N/A
2019,1,1,17,30,4,7,4,17,77,20,3,16,87.97,71,0.12,0.1,3.9000000000000004,286,100,16,987,N/A
2019,1,1,18,0,0,0,0,0,0,0,3,15.600000000000001,93.87,0,0.12,0.1,3.9000000000000004,292,100,15.600000000000001,988,N/A
2019,1,1,18,30,0,0,0,0,0,0,4,15.600000000000001,99.67,0,0.12,0.1,3.9000000000000004,292,100,15.600000000000001,988,N/A
2019,1,1,19,0,0,0,0,0,0,0,7,15.100000000000001,105.61,0,0.12,0,3.8000000000000003,328,100,15.100000000000001,988,N/A
2019,1,1,19,30,0,0,0,0,0,0,7,14.9,111.67,0,0.12,0,3.8000000000000003,330,100,14.9,988,N/A
2019,1,1,20,0,0,0,0,0,0,0,7,14.600000000000001,117.82000000000001,0,0.12,0,3.7,332,100,14.600000000000001,988,N/A
2019,1,1,20,30,0,0,0,0,0,0,3,14.4,124.05,0,0.12,0.1,3.7,328,100,14.4,988,N/A
2019,1,1,21,0,0,0,0,0,0,0,3,14.100000000000001,130.32,0,0.12,0.1,3.6,324,100,14.100000000000001,988,N/A
2019,1,1,21,30,0,0,0,0,0,0,7,13.9,136.61,0,0.12,0.2,3.6,325,100,13.9,988,N/A
2019,1,1,22,0,0,0,0,0,0,0,7,13.700000000000001,142.91,0,0.12,0.30000000000000004,3.5,326,100,13.700000000000001,988,N/A
2019,1,1,22,30,0,0,0,0,0,0,7,13.5,149.15,0,0.12,0.30000000000000004,3.5,325,100,13.5,988,N/A
2019,1,1,23,0,0,0,0,0,0,0,7,13.3,155.28,0,0.12,0.4,3.5,325,100,13.3,988,N/A
2019,1,1,23,30,0,0,0,0,0,0,7,13.200000000000001,161.13,0,0.12,0.4,3.4000000000000004,325,100,13.200000000000001,988,N/A
2019,1,2,0,0,0,0,0,0,0,0,7,13,166.31,0,0.12,0.4,3.4000000000000004,324,100,13,988,N/A
2019,1,2,0,30,0,0,0,0,0,0,7,12.9,169.71,0,0.12,0.4,3.4000000000000004,329,100,12.9,988,N/A
2019,1,2,1,0,0,0,0,0,0,0,0,12.8,169.43,0,0.12,0.4,3.4000000000000004,334,100,12.8,988,N/A
2019,1,2,1,30,0,0,0,0,0,0,7,12.5,165.69,0,0.12,0.30000000000000004,3.4000000000000004,346,100,12.5,988,N/A
2019,1,2,2,0,0,0,0,0,0,0,3,12.3,160.38,0,0.12,0.30000000000000004,3.4000000000000004,358,100,12.3,988,N/A
2019,1,2,2,30,0,0,0,0,0,0,3,12.200000000000001,154.48,0,0.12,0.2,3.4000000000000004,179,100,12.200000000000001,988,N/A
2019,1,2,3,0,0,0,0,0,0,0,3,12,148.33,0,0.12,0.2,3.4000000000000004,1,100,12,988,N/A
2019,1,2,3,30,0,0,0,0,0,0,7,11.9,142.07,0,0.12,0.1,3.4000000000000004,12,100,11.9,988,N/A
2019,1,2,4,0,0,0,0,0,0,0,7,11.700000000000001,135.77,0,0.12,0,3.4000000000000004,22,100,11.700000000000001,987,N/A
2019,1,2,4,30,0,0,0,0,0,0,0,11.600000000000001,129.48,0,0.12,0,3.4000000000000004,23,100,11.600000000000001,987,N/A
2019,1,2,5,0,0,0,0,0,0,0,0,11.5,123.21000000000001,0,0.12,0,3.4000000000000004,24,100,11.5,987,N/A
2019,1,2,5,30,0,0,0,0,0,0,3,11.4,116.99000000000001,0,0.12,0,3.4000000000000004,17,100,11.4,988,N/A
2019,1,2,6,0,0,0,0,0,0,0,3,11.4,110.85000000000001,0,0.12,0,3.4000000000000004,10,100,11.4,988,N/A
2019,1,2,6,30,0,0,0,0,0,0,7,11.4,104.8,0,0.12,0.1,3.4000000000000004,22,100,11.4,988,N/A
2019,1,2,7,0,0,0,0,0,0,0,7,11.4,98.87,0,0.12,0.1,3.4000000000000004,34,100,11.4,989,N/A
2019,1,2,7,30,0,0,0,0,0,0,7,11.8,93.09,0,0.12,0.1,3.4000000000000004,53,100,11.8,989,N/A
2019,1,2,8,0,8,24,9,22,149,29,7,12.200000000000001,87.25,79,0.12,0.1,3.3000000000000003,72,100,12.200000000000001,989,N/A
2019,1,2,8,30,17,0,17,46,376,98,7,12.5,82.02,100,0.12,0.1,3.3000000000000003,84,96.94,13,989,N/A
2019,1,2,9,0,32,0,32,62,525,180,4,13.600000000000001,76.98,75,0.12,0.1,3.3000000000000003,95,99.58,13.700000000000001,989,N/A
2019,1,2,9,30,65,2,66,74,617,262,4,13.700000000000001,72.25,4,0.12,0,3.4000000000000004,112,92.85000000000001,14.8,990,N/A
2019,1,2,10,0,44,0,44,84,678,339,4,14.700000000000001,67.93,0,0.12,0,3.4000000000000004,130,92.87,15.9,990,N/A
2019,1,2,10,30,37,0,37,91,723,407,7,14.700000000000001,64.11,0,0.12,0,3.4000000000000004,145,88.83,16.6,990,N/A
2019,1,2,11,0,42,0,42,98,752,464,6,15.5,60.89,0,0.12,0,3.4000000000000004,159,88.39,17.400000000000002,989,N/A
2019,1,2,11,30,69,0,69,102,774,508,6,15.5,58.370000000000005,0,0.12,0,3.5,172,86.19,17.8,989,N/A
2019,1,2,12,0,113,1,114,104,788,537,6,16.2,56.64,0,0.12,0.1,3.5,184,88.32000000000001,18.2,988,N/A
2019,1,2,12,30,133,1,134,107,789,551,6,16.2,55.78,0,0.12,0.1,3.4000000000000004,190,87.14,18.400000000000002,987,N/A
2019,1,2,13,0,109,0,109,110,781,549,7,16.900000000000002,55.83,0,0.12,0.1,3.4000000000000004,197,89.59,18.6,987,N/A
2019,1,2,13,30,104,2,105,110,772,533,7,16.8,56.79,0,0.12,0.1,3.4000000000000004,208,89.5,18.6,986,N/A
2019,1,2,14,0,95,2,96,108,755,501,6,17.2,58.61,0,0.12,0.1,3.4000000000000004,219,91.79,18.6,986,N/A
2019,1,2,14,30,51,0,51,104,732,456,6,17.2,61.22,0,0.12,0.1,3.4000000000000004,256,92.36,18.5,986,N/A
2019,1,2,15,0,47,0,47,96,699,397,7,17.7,64.51,0,0.12,0.1,3.4000000000000004,292,96.09,18.3,986,N/A
2019,1,2,15,30,35,0,35,90,647,328,7,17.7,68.39,0,0.12,0.1,3.4000000000000004,310,98.53,17.900000000000002,986,N/A
2019,1,2,16,0,30,0,30,80,573,250,7,17.5,72.76,14,0.12,0.1,3.3000000000000003,327,100,17.5,986,N/A
2019,1,2,16,30,12,0,12,65,475,168,7,16.8,77.53,100,0.12,0.1,3.3000000000000003,181,100,16.8,986,N/A
2019,1,2,17,0,12,0,12,45,325,87,4,16,82.61,100,0.12,0.1,3.3000000000000003,34,100,16,986,N/A
