Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,960024,-,-,-,32.53,-84.86,-5,123,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,Clearsky DHI,Clearsky GHI,Cloud Type,Solar Zenith Angle,Wind Speed,Temperature,
2019,1,1,0,0,0,0,0,3,166.62,0.2,19,N/A
2019,1,1,0,30,0,0,0,3,170.1,0.2,18.900000000000002,N/A
2019,1,1,1,0,0,0,0,3,169.76,0.2,18.8,N/A
2019,1,1,1,30,0,0,0,3,165.89000000000001,0.1,18.7,N/A
2019,1,1,2,0,0,0,0,3,160.49,0.1,18.5,N/A
2019,1,1,2,30,0,0,0,0,154.53,0.1,18.5,N/A
2019,1,1,3,0,0,0,0,3,148.35,0.1,18.5,N/A
2019,1,1,3,30,0,0,0,3,142.06,0.1,18.400000000000002,N/A
2019,1,1,4,0,0,0,0,3,135.74,0.1,18.3,N/A
2019,1,1,4,30,0,0,0,3,129.43,0.1,18.1,N/A
2019,1,1,5,0,0,0,0,4,123.14,0.1,18,N/A
2019,1,1,5,30,0,0,0,3,116.91,0.1,17.6,N/A
2019,1,1,6,0,0,0,0,3,110.75,0.1,17.3,N/A
2019,1,1,6,30,0,0,0,3,104.69,0.1,17.1,N/A
2019,1,1,7,0,0,0,0,3,98.74000000000001,0.1,16.8,N/A
2019,1,1,7,30,0,0,0,3,92.95,0.1,17.1,N/A
2019,1,1,8,0,15,21,31,3,87.11,0.1,17.400000000000002,N/A
2019,1,1,8,30,43,40,102,3,81.86,0.1,18.400000000000002,N/A
2019,1,1,9,0,77,54,186,7,76.8,0.2,19.3,N/A
2019,1,1,9,30,117,68,266,7,72.06,0.2,20.3,N/A
2019,1,1,10,0,79,84,340,7,67.73,0.2,21.3,N/A
2019,1,1,10,30,94,90,408,7,63.9,0.2,21.400000000000002,N/A
2019,1,1,11,0,46,95,464,7,60.67,0.2,21.6,N/A
2019,1,1,11,30,69,99,507,7,58.15,0.2,21.5,N/A
2019,1,1,12,0,40,101,536,4,56.42,0.2,21.5,N/A
2019,1,1,12,30,55,106,549,4,55.56,0.2,21.5,N/A
2019,1,1,13,0,168,111,546,4,55.63,0.2,21.400000000000002,N/A
2019,1,1,13,30,178,113,528,4,56.6,0.2,21.3,N/A
2019,1,1,14,0,99,116,494,4,58.44,0.2,21.1,N/A
2019,1,1,14,30,116,113,447,4,61.07,0.2,20.8,N/A
2019,1,1,15,0,110,110,388,4,64.38,0.2,20.5,N/A
2019,1,1,15,30,76,101,319,7,68.28,0.2,20,N/A
2019,1,1,16,0,66,89,242,7,72.67,0.1,19.6,N/A
2019,1,1,16,30,38,71,161,4,77.46000000000001,0.1,19,N/A
2019,1,1,17,0,19,48,83,4,82.55,0.1,18.400000000000002,N/A
2019,1,1,17,30,7,17,20,3,87.8,0.1,18,N/A
2019,1,1,18,0,0,0,0,3,93.71000000000001,0.1,17.6,N/A
2019,1,1,18,30,0,0,0,3,99.53,0.1,17.6,N/A
2019,1,1,19,0,0,0,0,8,105.49000000000001,0.1,16.900000000000002,N/A
2019,1,1,19,30,0,0,0,3,111.56,0.1,16.6,N/A
2019,1,1,20,0,0,0,0,3,117.73,0.1,16.3,N/A
