Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,962627,-,-,-,32.41,-84.74,-5,127,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,Clearsky DHI,Clearsky GHI,Cloud Type,Solar Zenith Angle,Wind Speed,Temperature,
2019,1,1,0,0,0,0,0,3,166.78,0.5,18.7,N/A
2019,1,1,0,30,0,0,0,3,170.24,0.5,18.7,N/A
2019,1,1,1,0,0,0,0,3,169.83,0.4,18.6,N/A
2019,1,1,1,30,0,0,0,3,165.89000000000001,0.4,18.5,N/A
2019,1,1,2,0,0,0,0,3,160.45000000000002,0.4,18.5,N/A
2019,1,1,2,30,0,0,0,0,154.47,0.4,18.400000000000002,N/A
2019,1,1,3,0,0,0,0,0,148.26,0.4,18.400000000000002,N/A
2019,1,1,3,30,0,0,0,3,141.97,0.4,18.3,N/A
2019,1,1,4,0,0,0,0,3,135.64000000000001,0.30000000000000004,18.2,N/A
2019,1,1,4,30,0,0,0,3,129.32,0.30000000000000004,18.1,N/A
2019,1,1,5,0,0,0,0,3,123.02,0.30000000000000004,18,N/A
2019,1,1,5,30,0,0,0,8,116.79,0.30000000000000004,17.7,N/A
2019,1,1,6,0,0,0,0,3,110.62,0.30000000000000004,17.5,N/A
2019,1,1,6,30,0,0,0,0,104.55,0.30000000000000004,17.400000000000002,N/A
2019,1,1,7,0,0,0,0,0,98.61,0.2,17.2,N/A
2019,1,1,7,30,0,0,0,3,92.81,0.2,17.5,N/A
2019,1,1,8,0,16,22,33,3,86.97,0.2,17.8,N/A
2019,1,1,8,30,47,40,106,3,81.71000000000001,0.30000000000000004,18.6,N/A
2019,1,1,9,0,79,53,190,3,76.65,0.30000000000000004,19.3,N/A
2019,1,1,9,30,116,67,271,7,71.91,0.4,20.200000000000003,N/A
2019,1,1,10,0,75,82,344,7,67.58,0.4,21.1,N/A
2019,1,1,10,30,84,88,412,7,63.75,0.4,21.400000000000002,N/A
2019,1,1,11,0,99,93,469,7,60.52,0.4,21.8,N/A
2019,1,1,11,30,167,97,512,7,58,0.5,21.8,N/A
2019,1,1,12,0,230,99,541,7,56.28,0.5,21.900000000000002,N/A
2019,1,1,12,30,165,103,553,4,55.44,0.5,22,N/A
2019,1,1,13,0,91,107,550,4,55.51,0.5,22,N/A
2019,1,1,13,30,88,109,532,4,56.51,0.5,21.900000000000002,N/A
2019,1,1,14,0,134,109,498,4,58.36,0.5,21.8,N/A
2019,1,1,14,30,129,107,451,4,61.01,0.4,21.6,N/A
2019,1,1,15,0,63,104,391,4,64.34,0.4,21.3,N/A
2019,1,1,15,30,72,97,322,4,68.26,0.30000000000000004,20.900000000000002,N/A
2019,1,1,16,0,52,85,244,7,72.66,0.30000000000000004,20.400000000000002,N/A
2019,1,1,16,30,36,70,163,4,77.46000000000001,0.2,19.700000000000003,N/A
2019,1,1,17,0,13,48,84,3,82.57000000000001,0.2,19.1,N/A
2019,1,1,17,30,6,17,20,3,87.83,0.2,18.6,N/A
2019,1,1,18,0,0,0,0,3,93.75,0.2,18.2,N/A
2019,1,1,18,30,0,0,0,3,99.58,0.2,18.2,N/A
2019,1,1,19,0,0,0,0,3,105.55,0.2,17.6,N/A
2019,1,1,19,30,0,0,0,3,111.63,0.2,17.3,N/A
2019,1,1,20,0,0,0,0,3,117.81,0.2,17,N/A
2019,1,1,20,30,0,0,0,3,124.06,0.2,16.7,N/A
2019,1,1,21,0,0,0,0,3,130.36,0.2,16.400000000000002,N/A
2019,1,1,21,30,0,0,0,7,136.68,0.2,16.2,N/A
2019,1,1,22,0,0,0,0,7,143.01,0.2,15.9,N/A
2019,1,1,22,30,0,0,0,7,149.29,0.2,15.700000000000001,N/A
2019,1,1,23,0,0,0,0,7,155.46,0.30000000000000004,15.5,N/A
2019,1,1,23,30,0,0,0,7,161.38,0.30000000000000004,15.3,N/A
2019,1,2,0,0,0,0,0,7,166.64000000000001,0.30000000000000004,15.100000000000001,N/A
2019,1,2,0,30,0,0,0,7,170.13,0.30000000000000004,15,N/A
2019,1,2,1,0,0,0,0,7,169.79,0.4,14.9,N/A
2019,1,2,1,30,0,0,0,7,165.91,0.4,14.8,N/A
2019,1,2,2,0,0,0,0,3,160.49,0.4,14.700000000000001,N/A
2019,1,2,2,30,0,0,0,3,154.52,0.4,14.5,N/A
2019,1,2,3,0,0,0,0,4,148.33,0.4,14.4,N/A
2019,1,2,3,30,0,0,0,3,142.03,0.30000000000000004,14.200000000000001,N/A
2019,1,2,4,0,0,0,0,0,135.7,0.2,14,N/A
2019,1,2,4,30,0,0,0,3,129.38,0.2,13.9,N/A
2019,1,2,5,0,0,0,0,3,123.09,0.2,13.700000000000001,N/A
2019,1,2,5,30,0,0,0,3,116.85000000000001,0.2,13.600000000000001,N/A
2019,1,2,6,0,0,0,0,3,110.68,0.1,13.600000000000001,N/A
2019,1,2,6,30,0,0,0,7,104.60000000000001,0.2,13.600000000000001,N/A
2019,1,2,7,0,0,0,0,7,98.65,0.2,13.600000000000001,N/A
2019,1,2,7,30,0,0,0,7,92.85000000000001,0.2,14,N/A
2019,1,2,8,0,5,22,30,7,87,0.30000000000000004,14.4,N/A
2019,1,2,8,30,9,47,100,7,81.74,0.30000000000000004,15.100000000000001,N/A
2019,1,2,9,0,16,63,184,4,76.66,0.30000000000000004,15.8,N/A
2019,1,2,9,30,31,74,266,4,71.91,0.30000000000000004,16.900000000000002,N/A
2019,1,2,10,0,27,85,344,7,67.57000000000001,0.2,17.900000000000002,N/A
2019,1,2,10,30,50,90,412,7,63.730000000000004,0.30000000000000004,18.7,N/A
2019,1,2,11,0,121,96,470,7,60.49,0.30000000000000004,19.5,N/A
2019,1,2,11,30,126,98,514,7,57.95,0.30000000000000004,19.900000000000002,N/A
2019,1,2,12,0,128,99,544,6,56.21,0.30000000000000004,20.3,N/A
2019,1,2,12,30,124,101,559,6,55.36,0.30000000000000004,20.400000000000002,N/A
2019,1,2,13,0,115,102,557,6,55.42,0.30000000000000004,20.6,N/A
2019,1,2,13,30,116,100,541,6,56.4,0.30000000000000004,20.700000000000003,N/A
2019,1,2,14,0,105,95,510,7,58.24,0.30000000000000004,20.8,N/A
2019,1,2,14,30,78,91,465,7,60.88,0.30000000000000004,20.700000000000003,N/A
2019,1,2,15,0,41,85,407,6,64.21000000000001,0.30000000000000004,20.6,N/A
2019,1,2,15,30,77,79,337,7,68.12,0.2,20.3,N/A
2019,1,2,16,0,58,70,258,7,72.53,0.2,20,N/A
2019,1,2,16,30,62,58,174,7,77.33,0.2,19.1,N/A
2019,1,2,17,0,33,43,92,7,82.43,0.30000000000000004,18.2,N/A
2019,1,2,17,30,9,19,24,7,87.7,0.2,17.8,N/A
2019,1,2,18,0,0,0,0,7,93.61,0.2,17.3,N/A
2019,1,2,18,30,0,0,0,7,99.44,0.2,17.3,N/A
2019,1,2,19,0,0,0,0,7,105.41,0.2,17.2,N/A
2019,1,2,19,30,0,0,0,7,111.5,0.2,17.2,N/A
2019,1,2,20,0,0,0,0,7,117.68,0.30000000000000004,17.1,N/A
2019,1,2,20,30,0,0,0,7,123.92,0.30000000000000004,17,N/A
2019,1,2,21,0,0,0,0,6,130.22,0.30000000000000004,16.900000000000002,N/A
2019,1,2,21,30,0,0,0,7,136.55,0.30000000000000004,16.8,N/A
2019,1,2,22,0,0,0,0,6,142.87,0.30000000000000004,16.8,N/A
2019,1,2,22,30,0,0,0,7,149.15,0.30000000000000004,16.8,N/A
2019,1,2,23,0,0,0,0,7,155.32,0.4,16.7,N/A
2019,1,2,23,30,0,0,0,6,161.24,0.4,16.7,N/A
2019,1,3,0,0,0,0,0,7,166.5,0.30000000000000004,16.6,N/A
2019,1,3,0,30,0,0,0,6,170.01,0.30000000000000004,16.5,N/A
2019,1,3,1,0,0,0,0,7,169.75,0.30000000000000004,16.3,N/A
2019,1,3,1,30,0,0,0,7,165.92000000000002,0.30000000000000004,16,N/A
2019,1,3,2,0,0,0,0,7,160.53,0.2,15.700000000000001,N/A
2019,1,3,2,30,0,0,0,7,154.57,0.2,15.5,N/A
2019,1,3,3,0,0,0,0,3,148.38,0.2,15.200000000000001,N/A
2019,1,3,3,30,0,0,0,8,142.09,0.2,15.100000000000001,N/A
2019,1,3,4,0,0,0,0,7,135.77,0.2,15,N/A
2019,1,3,4,30,0,0,0,7,129.44,0.30000000000000004,14.9,N/A
2019,1,3,5,0,0,0,0,7,123.15,0.30000000000000004,14.700000000000001,N/A
2019,1,3,5,30,0,0,0,7,116.9,0.30000000000000004,14.600000000000001,N/A
2019,1,3,6,0,0,0,0,7,110.73,0.30000000000000004,14.5,N/A
2019,1,3,6,30,0,0,0,7,104.65,0.30000000000000004,14.5,N/A
2019,1,3,7,0,0,0,0,7,98.69,0.30000000000000004,14.5,N/A
2019,1,3,7,30,0,0,0,6,92.89,0.30000000000000004,14.9,N/A
2019,1,3,8,0,5,22,33,6,87.03,0.2,15.3,N/A
2019,1,3,8,30,11,39,106,6,81.76,0.30000000000000004,16.3,N/A
2019,1,3,9,0,16,51,191,6,76.68,0.30000000000000004,17.3,N/A
2019,1,3,9,30,54,60,277,6,71.91,0.30000000000000004,18.7,N/A
2019,1,3,10,0,43,66,356,7,67.56,0.30000000000000004,20.1,N/A
2019,1,3,10,30,66,71,426,8,63.7,0.30000000000000004,20.700000000000003,N/A
2019,1,3,11,0,45,75,484,6,60.45,0.30000000000000004,21.200000000000003,N/A
2019,1,3,11,30,60,77,529,6,57.89,0.30000000000000004,21,N/A
2019,1,3,12,0,96,79,560,6,56.14,0.2,20.700000000000003,N/A
2019,1,3,12,30,192,79,575,6,55.27,0.2,21,N/A
2019,1,3,13,0,129,80,574,6,55.32,0.30000000000000004,21.3,N/A
2019,1,3,13,30,141,78,557,6,56.28,0.30000000000000004,21.3,N/A
2019,1,3,14,0,152,78,526,8,58.120000000000005,0.30000000000000004,21.200000000000003,N/A
2019,1,3,14,30,121,74,479,6,60.75,0.30000000000000004,20.8,N/A
2019,1,3,15,0,55,72,420,6,64.07000000000001,0.2,20.3,N/A
2019,1,3,15,30,33,67,348,6,67.98,0.2,19.700000000000003,N/A
2019,1,3,16,0,28,61,268,6,72.38,0.2,19.1,N/A
2019,1,3,16,30,19,52,182,6,77.18,0.2,18.5,N/A
2019,1,3,17,0,12,39,97,6,82.29,0.30000000000000004,17.900000000000002,N/A
2019,1,3,17,30,4,19,26,7,87.57000000000001,0.30000000000000004,17.3,N/A
2019,1,3,18,0,0,0,0,6,93.47,0.30000000000000004,16.6,N/A
2019,1,3,18,30,0,0,0,6,99.3,0.30000000000000004,16.6,N/A
2019,1,3,19,0,0,0,0,7,105.27,0.2,15.8,N/A
