Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,959437,-,-,-,32.49,-84.9,-5,102,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,Clearsky DHI,Clearsky GHI,Cloud Type,Solar Zenith Angle,Wind Speed,Temperature,
2019,1,1,0,0,0,0,0,3,166.6,0.2,19.1,N/A
2019,1,1,0,30,0,0,0,3,170.1,0.2,19,N/A
2019,1,1,1,0,0,0,0,3,169.8,0.1,18.900000000000002,N/A
2019,1,1,1,30,0,0,0,3,165.94,0.1,18.8,N/A
2019,1,1,2,0,0,0,0,3,160.55,0.1,18.6,N/A
2019,1,1,2,30,0,0,0,3,154.59,0.1,18.6,N/A
2019,1,1,3,0,0,0,0,3,148.4,0.1,18.6,N/A
2019,1,1,3,30,0,0,0,3,142.11,0.1,18.5,N/A
2019,1,1,4,0,0,0,0,3,135.79,0.1,18.400000000000002,N/A
2019,1,1,4,30,0,0,0,3,129.48,0.1,18.3,N/A
2019,1,1,5,0,0,0,0,4,123.19,0.1,18.1,N/A
2019,1,1,5,30,0,0,0,3,116.95,0.1,17.7,N/A
2019,1,1,6,0,0,0,0,0,110.79,0.1,17.400000000000002,N/A
2019,1,1,6,30,0,0,0,3,104.73,0.1,17.1,N/A
2019,1,1,7,0,0,0,0,3,98.78,0.1,16.900000000000002,N/A
2019,1,1,7,30,0,0,0,3,92.99,0.1,17.2,N/A
2019,1,1,8,0,15,21,31,3,87.14,0.1,17.5,N/A
2019,1,1,8,30,41,40,102,3,81.89,0.1,18.5,N/A
2019,1,1,9,0,81,54,185,7,76.83,0.1,19.5,N/A
2019,1,1,9,30,112,68,266,7,72.09,0.2,20.5,N/A
2019,1,1,10,0,71,84,340,7,67.75,0.2,21.5,N/A
2019,1,1,10,30,94,90,407,7,63.92,0.2,21.6,N/A
2019,1,1,11,0,39,95,464,7,60.68,0.2,21.700000000000003,N/A
2019,1,1,11,30,54,100,508,7,58.15,0.2,21.6,N/A
2019,1,1,12,0,32,102,536,7,56.410000000000004,0.2,21.6,N/A
2019,1,1,12,30,59,107,549,4,55.550000000000004,0.2,21.5,N/A
2019,1,1,13,0,130,112,546,4,55.6,0.2,21.5,N/A
2019,1,1,13,30,163,114,528,4,56.57,0.2,21.3,N/A
2019,1,1,14,0,107,116,494,4,58.4,0.2,21.200000000000003,N/A
2019,1,1,14,30,109,115,448,4,61.02,0.2,20.8,N/A
2019,1,1,15,0,88,111,388,4,64.34,0.2,20.5,N/A
2019,1,1,15,30,80,102,319,7,68.23,0.2,20,N/A
2019,1,1,16,0,86,89,242,7,72.62,0.1,19.6,N/A
2019,1,1,16,30,28,72,162,4,77.41,0.1,19,N/A
2019,1,1,17,0,14,49,84,4,82.5,0.1,18.400000000000002,N/A
2019,1,1,17,30,8,18,21,7,87.75,0.1,18,N/A
2019,1,1,18,0,0,0,0,3,93.66,0.1,17.6,N/A
2019,1,1,18,30,0,0,0,3,99.47,0.1,17.6,N/A
2019,1,1,19,0,0,0,0,3,105.43,0.1,16.900000000000002,N/A
2019,1,1,19,30,0,0,0,3,111.51,0.1,16.6,N/A
2019,1,1,20,0,0,0,0,3,117.68,0.1,16.3,N/A
2019,1,1,20,30,0,0,0,3,123.92,0.1,16,N/A
2019,1,1,21,0,0,0,0,3,130.21,0.1,15.8,N/A
2019,1,1,21,30,0,0,0,7,136.53,0.1,15.5,N/A
2019,1,1,22,0,0,0,0,7,142.85,0.2,15.200000000000001,N/A
2019,1,1,22,30,0,0,0,7,149.12,0.2,15,N/A
2019,1,1,23,0,0,0,0,7,155.29,0.2,14.8,N/A
2019,1,1,23,30,0,0,0,7,161.20000000000002,0.30000000000000004,14.700000000000001,N/A
2019,1,2,0,0,0,0,0,7,166.46,0.30000000000000004,14.600000000000001,N/A
2019,1,2,0,30,0,0,0,7,169.99,0.30000000000000004,14.5,N/A
2019,1,2,1,0,0,0,0,7,169.76,0.4,14.5,N/A
2019,1,2,1,30,0,0,0,7,165.96,0.4,14.4,N/A
2019,1,2,2,0,0,0,0,3,160.59,0.5,14.200000000000001,N/A
2019,1,2,2,30,0,0,0,3,154.64000000000001,0.4,14.100000000000001,N/A
2019,1,2,3,0,0,0,0,3,148.46,0.4,13.9,N/A
2019,1,2,3,30,0,0,0,3,142.18,0.30000000000000004,13.700000000000001,N/A
2019,1,2,4,0,0,0,0,3,135.86,0.2,13.5,N/A
2019,1,2,4,30,0,0,0,3,129.54,0.1,13.4,N/A
2019,1,2,5,0,0,0,0,3,123.25,0.1,13.3,N/A
2019,1,2,5,30,0,0,0,3,117.01,0.1,13.3,N/A
2019,1,2,6,0,0,0,0,3,110.85000000000001,0.1,13.200000000000001,N/A
2019,1,2,6,30,0,0,0,7,104.78,0.1,13.3,N/A
2019,1,2,7,0,0,0,0,7,98.83,0.1,13.3,N/A
2019,1,2,7,30,0,0,0,7,93.03,0.1,13.8,N/A
2019,1,2,8,0,5,22,29,7,87.17,0.2,14.200000000000001,N/A
2019,1,2,8,30,22,46,98,4,81.92,0.2,14.9,N/A
2019,1,2,9,0,31,63,180,4,76.84,0.2,15.600000000000001,N/A
2019,1,2,9,30,45,76,263,4,72.09,0.1,16.5,N/A
2019,1,2,10,0,46,86,340,7,67.74,0.1,17.5,N/A
2019,1,2,10,30,50,94,409,7,63.9,0.1,18.2,N/A
2019,1,2,11,0,84,99,466,7,60.65,0.1,18.900000000000002,N/A
2019,1,2,11,30,106,100,510,7,58.1,0.1,19.400000000000002,N/A
2019,1,2,12,0,129,101,541,6,56.34,0.1,19.8,N/A
2019,1,2,12,30,83,104,556,6,55.47,0.2,20,N/A
2019,1,2,13,0,89,104,554,6,55.51,0.2,20.3,N/A
2019,1,2,13,30,90,103,539,7,56.46,0.2,20.400000000000002,N/A
2019,1,2,14,0,70,98,509,7,58.28,0.1,20.5,N/A
2019,1,2,14,30,49,94,464,6,60.9,0.1,20.400000000000002,N/A
2019,1,2,15,0,46,87,406,7,64.2,0.1,20.3,N/A
2019,1,2,15,30,53,81,336,7,68.1,0.1,20.1,N/A
2019,1,2,16,0,38,72,257,7,72.48,0.1,19.8,N/A
2019,1,2,16,30,14,60,174,7,77.27,0.2,18.900000000000002,N/A
2019,1,2,17,0,9,44,92,7,82.36,0.30000000000000004,18.1,N/A
2019,1,2,17,30,3,19,24,7,87.62,0.2,17.6,N/A
2019,1,2,18,0,0,0,0,7,93.52,0.2,17.1,N/A
2019,1,2,18,30,0,0,0,7,99.33,0.2,17.1,N/A
2019,1,2,19,0,0,0,0,7,105.29,0.1,17.1,N/A
2019,1,2,19,30,0,0,0,7,111.37,0.1,17.1,N/A
2019,1,2,20,0,0,0,0,7,117.54,0.1,17.1,N/A
2019,1,2,20,30,0,0,0,7,123.79,0.1,17.1,N/A
2019,1,2,21,0,0,0,0,6,130.08,0.1,17,N/A
2019,1,2,21,30,0,0,0,7,136.4,0.2,16.900000000000002,N/A
2019,1,2,22,0,0,0,0,6,142.71,0.2,16.900000000000002,N/A
2019,1,2,22,30,0,0,0,7,148.99,0.2,17,N/A
2019,1,2,23,0,0,0,0,7,155.15,0.2,17.1,N/A
2019,1,2,23,30,0,0,0,6,161.06,0.2,17.1,N/A
2019,1,3,0,0,0,0,0,6,166.32,0.2,17.1,N/A
2019,1,3,0,30,0,0,0,7,169.87,0.1,17,N/A
2019,1,3,1,0,0,0,0,7,169.71,0.1,16.8,N/A
2019,1,3,1,30,0,0,0,7,165.97,0.1,16.5,N/A
2019,1,3,2,0,0,0,0,7,160.63,0.1,16.2,N/A
2019,1,3,2,30,0,0,0,7,154.69,0.1,15.9,N/A
2019,1,3,3,0,0,0,0,3,148.52,0.1,15.600000000000001,N/A
2019,1,3,3,30,0,0,0,7,142.24,0.1,15.4,N/A
2019,1,3,4,0,0,0,0,7,135.92000000000002,0.1,15.3,N/A
2019,1,3,4,30,0,0,0,7,129.6,0.1,15,N/A
2019,1,3,5,0,0,0,0,7,123.31,0.1,14.8,N/A
2019,1,3,5,30,0,0,0,7,117.07000000000001,0.1,14.700000000000001,N/A
2019,1,3,6,0,0,0,0,7,110.9,0.2,14.600000000000001,N/A
2019,1,3,6,30,0,0,0,6,104.83,0.2,14.5,N/A
2019,1,3,7,0,0,0,0,7,98.87,0.30000000000000004,14.5,N/A
2019,1,3,7,30,0,0,0,6,93.07000000000001,0.2,15,N/A
2019,1,3,8,0,6,21,31,6,87.2,0.1,15.5,N/A
2019,1,3,8,30,12,39,103,6,81.94,0.1,16.7,N/A
2019,1,3,9,0,24,53,188,6,76.86,0.1,17.900000000000002,N/A
2019,1,3,9,30,63,61,273,6,72.09,0.1,19.6,N/A
2019,1,3,10,0,66,69,352,7,67.73,0.2,21.3,N/A
2019,1,3,10,30,59,73,422,8,63.870000000000005,0.2,21.5,N/A
2019,1,3,11,0,64,77,480,6,60.61,0.2,21.8,N/A
2019,1,3,11,30,89,80,526,6,58.04,0.2,21.3,N/A
2019,1,3,12,0,128,80,556,6,56.27,0.1,20.8,N/A
2019,1,3,12,30,171,82,572,6,55.38,0.1,21,N/A
2019,1,3,13,0,151,82,571,6,55.4,0.2,21.3,N/A
2019,1,3,13,30,156,81,555,6,56.34,0.2,21.1,N/A
2019,1,3,14,0,120,80,524,6,58.160000000000004,0.2,20.900000000000002,N/A
2019,1,3,14,30,75,77,478,6,60.76,0.2,20.400000000000002,N/A
2019,1,3,15,0,31,73,418,6,64.07000000000001,0.1,19.900000000000002,N/A
2019,1,3,15,30,34,68,347,6,67.96000000000001,0.2,19.3,N/A
2019,1,3,16,0,30,61,267,6,72.34,0.2,18.6,N/A
2019,1,3,16,30,13,52,182,7,77.12,0.30000000000000004,18,N/A
